EXAMPLE_ID,FAMILY,COMPLETION_FRACTION,NEXT_STEP
ic_0218_80,ic,0.8,PASSIVATION ETCH PAD OPENING
ic_0219_60,ic,0.6,MEASURE VIA CD
ic_0219_80,ic,0.8,PAD WINDOW LITHO
ic_0220_60,ic,0.6,MEASURE VIA CD
ic_0220_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0221_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0221_80,ic,0.8,DEVELOP PAD WINDOW
ic_0222_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0222_80,ic,0.8,STRIP PHOTORESIST
ic_0223_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0223_80,ic,0.8,OPEN PAD WINDOW
ic_0224_60,ic,0.6,MEASURE VIA CD
ic_0224_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0225_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0225_80,ic,0.8,PAD WINDOW LITHO
ic_0226_60,ic,0.6,VIA ETCH THROUGH DIELECTRIC
ic_0226_80,ic,0.8,PAD WINDOW LITHO
ic_0227_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0227_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0228_60,ic,0.6,STRIP RESIST
ic_0228_80,ic,0.8,MEASURE PASSIVATION THICKNESS
ic_0229_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0229_80,ic,0.8,DEVELOP PHOTORESIST
ic_0230_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0230_80,ic,0.8,MEASURE PASSIVATION THICKNESS
ic_0231_60,ic,0.6,MEASURE VIA CD
ic_0231_80,ic,0.8,DEVELOP PAD WINDOW
ic_0232_60,ic,0.6,STRIP PHOTORESIST
ic_0232_80,ic,0.8,OPEN PAD WINDOW
ic_0233_60,ic,0.6,MEASURE VIA CD
ic_0233_80,ic,0.8,DEVELOP PAD WINDOW
ic_0234_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0234_80,ic,0.8,PAD WINDOW LITHO
ic_0235_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0235_80,ic,0.8,DEVELOP PAD WINDOW
ic_0236_60,ic,0.6,STRIP PHOTORESIST
ic_0236_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0237_60,ic,0.6,STRIP RESIST
ic_0237_80,ic,0.8,PAD WINDOW LITHO
ic_0238_60,ic,0.6,MEASURE VIA CD
ic_0238_80,ic,0.8,DEVELOP PHOTORESIST
ic_0239_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0239_80,ic,0.8,DEVELOP PAD WINDOW
ic_0240_60,ic,0.6,STRIP PHOTORESIST
ic_0240_80,ic,0.8,OPEN PAD WINDOW
ic_0241_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0241_80,ic,0.8,DEVELOP PHOTORESIST
ic_0242_60,ic,0.6,VIA ETCH
ic_0242_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0243_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0243_80,ic,0.8,OPEN PAD WINDOW
ic_0244_60,ic,0.6,MEASURE VIA CD
ic_0244_80,ic,0.8,DEVELOP PHOTORESIST
ic_0245_60,ic,0.6,STRIP RESIST
ic_0245_80,ic,0.8,PAD WINDOW LITHO
ic_0246_60,ic,0.6,MEASURE VIA CD
ic_0246_80,ic,0.8,DEVELOP PAD WINDOW
ic_0247_60,ic,0.6,VIA ETCH
ic_0247_80,ic,0.8,DEVELOP PHOTORESIST
ic_0248_60,ic,0.6,STRIP PHOTORESIST
ic_0248_80,ic,0.8,MEASURE PASSIVATION QUALITY
ic_0249_60,ic,0.6,STRIP PHOTORESIST
ic_0249_80,ic,0.8,OPEN PAD WINDOW
ic_0250_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0250_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0251_60,ic,0.6,MEASURE VIA CD
ic_0251_80,ic,0.8,DEVELOP PHOTORESIST
ic_0252_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0252_80,ic,0.8,DEVELOP PAD WINDOW
ic_0253_60,ic,0.6,MEASURE VIA CD
ic_0253_80,ic,0.8,PAD WINDOW LITHO
ic_0254_60,ic,0.6,STRIP PHOTORESIST
ic_0254_80,ic,0.8,OPEN PAD WINDOW
ic_0255_60,ic,0.6,MEASURE VIA CD
ic_0255_80,ic,0.8,DEVELOP PAD WINDOW
ic_0256_60,ic,0.6,MEASURE VIA CD
ic_0256_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0257_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0257_80,ic,0.8,OPEN PAD WINDOW
ic_0258_60,ic,0.6,MEASURE VIA CD
ic_0258_80,ic,0.8,DEVELOP PHOTORESIST
ic_0259_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0259_80,ic,0.8,DEVELOP PHOTORESIST
ic_0260_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0260_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0261_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0261_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0262_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0262_80,ic,0.8,DEVELOP PHOTORESIST
ic_0263_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0263_80,ic,0.8,DEVELOP PHOTORESIST
ic_0264_60,ic,0.6,MEASURE VIA CD
ic_0264_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0265_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0265_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0266_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0266_80,ic,0.8,DEVELOP PAD WINDOW
ic_0267_60,ic,0.6,STRIP PHOTORESIST
ic_0267_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0268_60,ic,0.6,STRIP PHOTORESIST
ic_0268_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0269_60,ic,0.6,STRIP PHOTORESIST
ic_0269_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0270_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0270_80,ic,0.8,DEVELOP PHOTORESIST
ic_0271_60,ic,0.6,MEASURE VIA CD
ic_0271_80,ic,0.8,DEVELOP PAD WINDOW
ic_0272_60,ic,0.6,STRIP RESIST
ic_0272_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0273_60,ic,0.6,MEASURE VIA CD
ic_0273_80,ic,0.8,PASSIVATION ETCH PAD OPENING
ic_0274_60,ic,0.6,DEPOSIT TUNGSTEN SEED
ic_0274_80,ic,0.8,PASSIVATION ETCH PAD OPENING
ic_0275_60,ic,0.6,MEASURE VIA CD
ic_0275_80,ic,0.8,PAD WINDOW LITHO
ic_0276_60,ic,0.6,DIELECTRIC ETCH VIA
ic_0276_80,ic,0.8,MEASURE PASSIVATION QUALITY
ic_0277_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0277_80,ic,0.8,DEVELOP PHOTORESIST
ic_0278_60,ic,0.6,MEASURE VIA CD
ic_0278_80,ic,0.8,OPEN PAD WINDOW
ic_0279_60,ic,0.6,MEASURE VIA CD
ic_0279_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0280_60,ic,0.6,MEASURE VIA CD
ic_0280_80,ic,0.8,DEVELOP PHOTORESIST
ic_0281_60,ic,0.6,MEASURE VIA CD
ic_0281_80,ic,0.8,PAD WINDOW LITHO
ic_0282_60,ic,0.6,STRIP PHOTORESIST
ic_0282_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0283_60,ic,0.6,DEPOSIT TUNGSTEN SEED
ic_0283_80,ic,0.8,PASSIVATION ETCH
ic_0284_60,ic,0.6,MEASURE VIA CD
ic_0284_80,ic,0.8,PAD WINDOW LITHO
ic_0285_60,ic,0.6,STRIP RESIST
ic_0285_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0286_60,ic,0.6,STRIP RESIST
ic_0286_80,ic,0.8,MEASURE PASSIVATION QUALITY
ic_0287_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0287_80,ic,0.8,PAD WINDOW LITHO
ic_0288_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0288_80,ic,0.8,DEVELOP PAD WINDOW
ic_0289_60,ic,0.6,STRIP PHOTORESIST
ic_0289_80,ic,0.8,OPEN PAD WINDOW LITHO
ic_0290_60,ic,0.6,VIA ETCH THROUGH DIELECTRIC
ic_0290_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0291_60,ic,0.6,STRIP PHOTORESIST
ic_0291_80,ic,0.8,OPEN PAD WINDOW
ic_0292_60,ic,0.6,STRIP PHOTORESIST
ic_0292_80,ic,0.8,MEASURE PASSIVATION QUALITY
ic_0293_60,ic,0.6,DEPOSIT TUNGSTEN SEED
ic_0293_80,ic,0.8,STRIP PHOTORESIST
ic_0294_60,ic,0.6,DEPOSIT BARRIER METAL
ic_0294_80,ic,0.8,PASSIVATION ETCH
ic_0295_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0295_80,ic,0.8,DEVELOP PHOTORESIST
ic_0296_60,ic,0.6,MEASURE VIA CD
ic_0296_80,ic,0.8,PAD WINDOW LITHO
ic_0297_60,ic,0.6,STRIP PHOTORESIST
ic_0297_80,ic,0.8,OPEN BOND PAD WINDOW
ic_0298_60,ic,0.6,CLEAN AFTER VIA ETCH
ic_0298_80,ic,0.8,PAD WINDOW LITHO
ic_0299_60,ic,0.6,MEASURE VIA CD
ic_0299_80,ic,0.8,OPEN BOND PAD WINDOW
