EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0194,MEASURE VIA CD,DEPOSIT BARRIER METAL,DRY WAFER,DENSIFY OXIDE,DENSIFY DIELECTRIC
valid_0195,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,VIA OPENING INSPECTION,FIELD PATTERN INSPECTION,VIA INSPECTION
valid_0196,DEPOSIT BARRIER METAL,MEASURE VIA CD,FINAL GEOMETRY CHECK,DEPOSIT POLYSILICON,DRY WAFER
valid_0197,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,DENSIFY OXIDE
valid_0198,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,SPIN COAT PHOTORESIST
valid_0199,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE LINE WIDTH
valid_0200,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0201,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DENSIFY OXIDE,DEPOSIT TUNGSTEN SEED,OPEN PAD WINDOW
valid_0202,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0203,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,DEPOSIT TUNGSTEN SEED,OPEN BOND PAD WINDOW
valid_0204,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE FILM THICKNESS,MEASURE METAL THICKNESS
valid_0205,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,EXPOSE LITHO LEVEL 6,ANNEAL OXIDE,DEVELOP PHOTORESIST
valid_0206,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE FILM THICKNESS,IMPLANT CHANNEL STOP
valid_0207,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW,OPEN PAD WINDOW LITHO
valid_0208,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE FILM THICKNESS,MEASURE METAL THICKNESS
valid_0209,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW
valid_0210,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE POLY THICKNESS
valid_0211,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DENSIFY OXIDE,DENSIFY DIELECTRIC,METAL ETCH DRY
valid_0212,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE FILM THICKNESS,IMPLANT CHANNEL STOP
valid_0213,CURE PASSIVATION,CLEAN AFTER METAL ETCH,BACKSIDE ANNEAL,DEPOSIT TUNGSTEN SEED,METAL ETCH DRY
valid_0214,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE FILM THICKNESS,ANNEAL METAL 1
valid_0215,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,PARAMETRIC TEST,MEASURE OPENING CD
valid_0216,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0217,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW
valid_0218,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE POLY THICKNESS
valid_0219,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,SHIP LOT,CLEAN AFTER METAL ETCH
valid_0220,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0221,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,OPEN PAD WINDOW LITHO,WAFER SORT TEST
valid_0222,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS
valid_0223,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,LEAKAGE TEST,MEASURE PLANARITY
valid_0224,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE POLY THICKNESS
valid_0225,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT BARRIER METAL,METAL PATTERN INSPECTION
valid_0226,SOFT BAKE,ANNEAL METAL 1,ANNEAL METAL,VIA ETCH THROUGH DIELECTRIC,CMP METAL
valid_0227,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,OPEN PAD WINDOW LITHO,WAFER SORT TEST
valid_0228,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,HARD BAKE,DENSIFY DIELECTRIC,DEPOSIT BARRIER METAL
valid_0229,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE OPENING CD,YIELD ANALYSIS
valid_0230,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,ANNEAL METAL,ANNEAL METAL 1
valid_0231,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,LEAKAGE TEST,OPEN BOND PAD WINDOW
valid_0232,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0233,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,DEPOSIT PASSIVATION LAYER,IMPLANT WELL
valid_0234,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0235,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,LEAKAGE TEST
valid_0236,SOFT BAKE,ANNEAL METAL 1,FINAL OXIDE CHECK,ANNEAL METAL,VIA ETCH THROUGH DIELECTRIC
valid_0237,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,IMPLANT WELL
valid_0238,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE FILM THICKNESS,MEASURE METAL THICKNESS
valid_0239,CURE PASSIVATION,CLEAN AFTER METAL ETCH,BACKSIDE ANNEAL,OPEN PAD WINDOW,DEPOSIT TUNGSTEN SEED
valid_0240,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 6,EXPOSE LITHO LEVEL 5,FINAL OXIDE CHECK
valid_0241,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0242,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE FILM THICKNESS,IMPLANT CHANNEL STOP
valid_0243,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,FINAL PARTICLE INSPECTION
valid_0244,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE FILM THICKNESS,MEASURE METAL THICKNESS,PRE ANNEAL CHECK
valid_0245,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW
valid_0246,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0247,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DEPOSIT TUNGSTEN SEED,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW
valid_0248,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,ANNEAL METAL,ANNEAL METAL 1
valid_0249,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,IMPLANT WELL,DRY WAFER
valid_0250,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0251,CURE PASSIVATION,CLEAN AFTER METAL ETCH,IMPLANT WELL,OPEN PAD WINDOW,OPEN BOND PAD WINDOW
valid_0252,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,IMPLANT CHANNEL STOP,DEPOSIT BARRIER METAL,HARD BAKE
valid_0253,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,ELECTRICAL PARAMETRIC TEST,EXPOSE LITHO LEVEL 6,PARAMETRIC TEST
valid_0254,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,VIA ETCH
valid_0255,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,DEPOSIT BACKSIDE PROTECTION,OPEN BOND PAD WINDOW
valid_0256,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE FILM THICKNESS,DENSIFY OXIDE,ANNEAL METAL
valid_0257,CURE PASSIVATION,CLEAN AFTER METAL ETCH,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW
valid_0258,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE POLY THICKNESS
valid_0259,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS
valid_0260,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE FILM THICKNESS,ANNEAL METAL 1
valid_0261,CURE PASSIVATION,CLEAN AFTER METAL ETCH,METAL ETCH DRY,BACKSIDE ANNEAL,DEPOSIT PASSIVATION LAYER
valid_0262,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 6,ALIGN MASK LEVEL 3,MEASURE DEVICE PARAMETER,EXPOSE LITHO LEVEL 5
valid_0263,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,EXPOSE LITHO LEVEL 6,CLEAN AFTER METAL ETCH,ANNEAL OXIDE
valid_0264,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,DEPOSIT INTERLAYER DIELECTRIC
valid_0265,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,OPEN PAD WINDOW LITHO,WAFER SORT TEST
valid_0266,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE METAL THICKNESS,DENSIFY DIELECTRIC
valid_0267,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,SPIN COAT PHOTORESIST,YIELD ANALYSIS
valid_0268,SOFT BAKE,ANNEAL METAL 1,IMPLANT CHANNEL STOP,ANNEAL METAL,CLEAN AFTER FIELD ETCH
valid_0269,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,HARD BAKE
valid_0270,SOFT BAKE,ANNEAL METAL 1,IMPLANT CHANNEL STOP,ANNEAL METAL,CLEAN AFTER FIELD ETCH
valid_0271,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,FINAL PARTICLE INSPECTION
valid_0272,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0273,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,EXPOSE LITHO LEVEL 6,DEVELOP PHOTORESIST,CURE PASSIVATION
valid_0274,EXPOSE LITHO LEVEL 5,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 6,EXPOSE LITHO LEVEL 2,SHIP LOT
valid_0275,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,EPITAXIAL DEPOSITION
valid_0276,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,IMPLANT CHANNEL STOP,SPIN COAT PHOTORESIST,MEASURE GATE CD
valid_0277,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DEPOSIT BACKSIDE METAL,EXPOSE LITHO LEVEL 4,DEPOSIT TUNGSTEN SEED
valid_0278,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,HARD BAKE,DEPOSIT BARRIER METAL
valid_0279,CURE PASSIVATION,OPEN BOND PAD WINDOW,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,IMPLANT WELL
valid_0280,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,MEASURE FILM THICKNESS
valid_0281,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DENSIFY OXIDE,DENSIFY DIELECTRIC,MEASURE PASSIVATION THICKNESS
valid_0282,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,IMPLANT CHANNEL STOP,MEASURE GATE CD
valid_0283,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,YIELD ANALYSIS,SPIN COAT PHOTORESIST
valid_0284,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL 1
valid_0285,CURE PASSIVATION,CLEAN AFTER METAL ETCH,BACKSIDE ANNEAL,IMPLANT WELL,MEASURE PASSIVATION THICKNESS
valid_0286,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0287,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS
valid_0288,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,HARD BAKE,MEASURE GATE CD
valid_0289,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS
valid_0290,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0291,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE OPENING CD,SPIN COAT PHOTORESIST
valid_0292,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0293,CURE PASSIVATION,CLEAN AFTER METAL ETCH,IMPLANT WELL,OPEN PAD WINDOW,OPEN BOND PAD WINDOW
valid_0294,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0295,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DRY WAFER,SUBSTRATE CHECK,BACKSIDE ANNEAL
valid_0296,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,MEASURE POLY THICKNESS,HARD BAKE
valid_0297,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,DEPOSIT TUNGSTEN SEED
valid_0298,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,MEASURE POLY THICKNESS,IMPLANT CHANNEL STOP
valid_0299,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,ELECTRICAL PARAMETRIC TEST,HARD BAKE
valid_0300,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0301,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,EXPOSE LITHO LEVEL 4,MEASURE LINE WIDTH
valid_0302,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,CLEAN AFTER METAL ETCH,FINAL CLEAN
valid_0303,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,CURE PASSIVATION
valid_0304,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,MEASURE FILM THICKNESS,ANNEAL METAL 1
valid_0305,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW
valid_0306,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 6,EXPOSE LITHO LEVEL 5,ANISOTROPIC ETCH SPACER
valid_0307,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,OPEN PAD WINDOW LITHO,WAFER SORT TEST
valid_0308,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0309,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,METAL PATTERN INSPECTION,SPIN COAT PHOTORESIST
valid_0310,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,CLEAN AFTER METAL ETCH,HARD BAKE
valid_0311,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,MEASURE PASSIVATION QUALITY,OPEN BOND PAD WINDOW
valid_0312,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,IMPLANT CHANNEL STOP,DEPOSIT BARRIER METAL
valid_0313,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DENSIFY OXIDE,MEASURE PASSIVATION THICKNESS,DENSIFY DIELECTRIC
valid_0314,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,SPIN COAT PHOTORESIST,DENSIFY DIELECTRIC
valid_0315,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,DEPOSIT TUNGSTEN SEED,OPEN BOND PAD WINDOW
valid_0316,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,ANNEAL METAL 1,YIELD ANALYSIS
valid_0317,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW,CURE PASSIVATION
valid_0318,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,MEASURE FILM THICKNESS
valid_0319,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,SHIP LOT
valid_0320,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,DEPOSIT INTERLAYER DIELECTRIC
valid_0321,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,IMPLANT WELL
valid_0322,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,IMPLANT CHANNEL STOP
valid_0323,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT BARRIER METAL,POLYSILICON ETCH
valid_0324,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,ANNEAL METAL,ANNEAL METAL 1
valid_0325,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DEPOSIT TUNGSTEN SEED,DRY WAFER,BACKSIDE ANNEAL
valid_0326,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,YIELD ANALYSIS,IMPLANT CHANNEL STOP
valid_0327,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,LEAKAGE TEST
valid_0328,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE POLY THICKNESS
valid_0329,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,YIELD ANALYSIS,CURE PASSIVATION
valid_0330,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,DEPOSIT BARRIER METAL,YIELD ANALYSIS
valid_0331,CURE PASSIVATION,CLEAN AFTER METAL ETCH,LEAKAGE TEST,OPEN PAD WINDOW,OPEN BOND PAD WINDOW
valid_0332,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,IMPLANT CHANNEL STOP,DEPOSIT BARRIER METAL
valid_0333,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,CURE PASSIVATION,OPEN PAD WINDOW LITHO,OPEN PAD WINDOW
valid_0334,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0335,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,METAL PATTERN INSPECTION,YIELD ANALYSIS
valid_0336,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 6,DEPOSIT INTERLEVEL DIELECTRIC,EXPOSE LITHO LEVEL 5
valid_0337,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,EPITAXIAL DEPOSITION
valid_0338,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,IMPLANT CHANNEL STOP,SPIN COAT PHOTORESIST,DEPOSIT BARRIER METAL
valid_0339,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT BARRIER METAL,METAL PATTERN INSPECTION
valid_0340,DENSIFY OXIDE,DENSIFY DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,HARD BAKE
valid_0341,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,CLEAN AFTER METAL ETCH,SHIP LOT
valid_0342,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0343,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DRY WAFER,DEPOSIT TUNGSTEN SEED,BACKSIDE ANNEAL
valid_0344,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0345,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DRY WAFER,SUBSTRATE CHECK,BACKSIDE ANNEAL
valid_0346,SOFT BAKE,ANNEAL METAL 1,IMPLANT CHANNEL STOP,ANNEAL METAL,CLEAN AFTER FIELD ETCH
valid_0347,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,PARAMETRIC TEST,MEASURE OPENING CD
valid_0348,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST,HARD BAKE,FINAL CLEAN
valid_0349,CURE PASSIVATION,IMPLANT WELL,CLEAN AFTER METAL ETCH,MEASURE OPENING CD,DRY WAFER
valid_0350,SOFT BAKE,ANNEAL METAL 1,FINAL OXIDE CHECK,ANNEAL METAL,VIA ETCH THROUGH DIELECTRIC
valid_0351,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT BARRIER METAL,MEASURE OPENING CD
valid_0352,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,PRE ANNEAL CHECK
valid_0353,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,DRY WAFER
valid_0354,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,IMPLANT CHANNEL STOP
valid_0355,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,DRY WAFER,OPEN BOND PAD WINDOW
valid_0356,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,YIELD ANALYSIS,ANNEAL METAL 1
valid_0357,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT BARRIER METAL,SPIN COAT PHOTORESIST
valid_0358,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,HARD BAKE,SPIN COAT PHOTORESIST,DEPOSIT BARRIER METAL
valid_0359,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DEPOSIT TUNGSTEN SEED,MEASURE PASSIVATION THICKNESS,OPEN PAD WINDOW
valid_0360,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,VIA ETCH
valid_0361,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,DEPOSIT TUNGSTEN SEED
valid_0362,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,IMPLANT CHANNEL STOP,DEPOSIT BARRIER METAL,YIELD ANALYSIS
valid_0363,CURE PASSIVATION,CLEAN AFTER METAL ETCH,DRY WAFER,OPEN PAD WINDOW,DEPOSIT TUNGSTEN SEED
valid_0364,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,DENSIFY OXIDE,DENSIFY DIELECTRIC,ANNEAL METAL
valid_0365,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,YIELD ANALYSIS,METAL PATTERN INSPECTION
valid_0366,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE OXIDE THICKNESS,MEASURE POLY THICKNESS
valid_0367,CURE PASSIVATION,CLEAN AFTER METAL ETCH,OPEN PAD WINDOW,DRY WAFER,DEPOSIT TUNGSTEN SEED
valid_0368,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,IMPLANT CHANNEL STOP,DEPOSIT BARRIER METAL,SPIN COAT PHOTORESIST
valid_0369,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT BARRIER METAL,METAL PATTERN INSPECTION
valid_0370,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,IMPLANT CHANNEL STOP,DEPOSIT BARRIER METAL,HARD BAKE
valid_0371,CURE PASSIVATION,CLEAN AFTER METAL ETCH,MEASURE PLANARITY,METAL ETCH DRY,DENSIFY OXIDE
